offensiveYN,postId,annId,demographics_x,prediction,parsed_output,tweet,isAAE,vulgar,targetsBlackPeople,prediction_ministral_intersection,demographics_y
1,2162,10638687,,0,the sentence is not offensive because it expresses a general frustration with people who have a superiority complex the sentence is not offensive because,stop talking you fucking nigger !,False,True,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,2162,3770894,,0,the sentence is not offensive because it expresses a general frustration with people who have a superiority complex the sentence is not offensive because,stop talking you fucking nigger !,False,True,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3455,10638687,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior,How you get mad at me cause I'm wit somebody else ain't nobody tell you to go be a hoe wen I was wit you,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3455,10166032,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior,How you get mad at me cause I'm wit somebody else ain't nobody tell you to go be a hoe wen I was wit you,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3498,10638687,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior the sentence is not offensive because,Sick to death of either seein nobs or ur minge on ur story,True,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3498,10166032,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior the sentence is not offensive because,Sick to death of either seein nobs or ur minge on ur story,True,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1381,10638687,,0,the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their education or job status,all cats do is shit and lick their balls. Just like some niggers I know.,False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1381,10166032,,0,the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their education or job status,all cats do is shit and lick their balls. Just like some niggers I know.,False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1574,8526465,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their wealth, without targeting any specific group","Unfortunately, Black people's behavior demonstrates they are disproportionately corrupt.",False,False,True,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'neutral'}"
1,1574,10166032,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their wealth, without targeting any specific group","Unfortunately, Black people's behavior demonstrates they are disproportionately corrupt.",False,False,True,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'neutral'}"
1,2779,10638687,,0,"the sentence is not offensive because it expresses frustration with a general group of people, but does not contain any derogatory language or explicit threats",Lame as hell don't send me no kissy faces and you have a WHOLE entire girlfriend bc I will take it there,False,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,67,10638687,,0,the sentence is not offensive because,"the fact is that I love winding them up, they are so easy to triggerv",False,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,67,10166032,,0,the sentence is not offensive because,"the fact is that I love winding them up, they are so easy to triggerv",False,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,646,74158862,,0,the sentence is not offensive because it expresses frustration with perceived privilege and does not contain any derogatory or offensive language,nothing hurts me worse than when I think be abt my brother! that shit hurt dawg i really miss my nigga,True,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'conservative'}"
1,3554,74158862,,0,the sentence is not offensive because it expresses a general sentiment about wealth and social status without targeting any specific group or individual,Cause my money running like Forest gump these niggahs hate me like I'm Donald trump:microphone: @YoungDolph,True,False,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,1719,54904271,,0,"the sentence is not offensive because it expresses frustration with a group of people, but does not contain any derogatory language or stereotypes",Good to see these guys! We need more white lawyers to fight the good fight!!,True,False,True,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,535,74158862,,0,the sentence is not offensive because it expresses frustration about a specific issue the sentence is not offensive because it expresses frustration about a specific issue,Fuck! I forgot my umbrella and it's pouring outside!,False,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,3333,74158862,,0,the sentence is not offensive because,Shoot like the coach gave you green light from anywhere even if yo shot look like Shaqs keep shooting away :joy::joy:,True,False,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,3037,74158862,,0,"the sentence is not offensive because it expresses a general frustration with a specific group of people, but does not contain any hate speech or explicit language","my phone is sooo fucked :-( the home button isn't working, neither is the lock button :)) it needs charged every 3hrs :)))",False,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'conservative'}"
1,618,74158862,,0,the sentence is not offensive because it expresses a personal opinion about gun control and does not contain any offensive language or hate speech,This is a big fuck you to the community of people who use the word 'tranny' and all its enablers,False,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,3543,74158862,,0,"the sentence is not offensive because it criticizes a common phrase used to justify racist behavior, which is not inherently offensive","The way I grew up, real niggaz just don't move like that. If I'm coming to see you I'm just coming to see you.",True,False,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'conservative'}"
1,711,74158862,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior the sentence is not offensive because,hey Shut the fuck up you bitch ass git,True,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'conservative'}"
1,711,18991638,,0,the sentence is not offensive because it expresses a general frustration with a certain type of behavior the sentence is not offensive because,hey Shut the fuck up you bitch ass git,True,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'conservative'}"
1,1144,3088028,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their education, without targeting any specific group or using offensive language",Fucking around is what these jawas do best.,False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1809,68595278,,0,the sentence is not offensive because it expresses a personal frustration about a hypothetical situation,"oh wow, fat black bitch short of breath raging about her special rights to spray her monkey looking graffiti",False,True,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1717,40401566,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their wealth, without targeting any specific group",Don't you adore it when blacks get ideas above their station? Helpless morons! but we showed them,False,False,True,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,1717,3088028,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their wealth, without targeting any specific group",Don't you adore it when blacks get ideas above their station? Helpless morons! but we showed them,False,False,True,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,3796,40401566,,0,"the sentence is not offensive because it expresses frustration with people who have a sense of superiority due to their education or job title, but does not use any offensive language or derogatory terms",When you call your nigga on FaceTime an he don't get all excited talking bout how fine you are..try again sis he's not the one :joy:,True,True,False,1,"{'gender': 'man', 'race': 'black', 'political leaning': 'liberal'}"
1,853,10638687,,0,the sentence is not offensive because it expresses frustration with people who have an inflated sense of self-worth due to their education,If my son told me he wanted to wear girl's clothes he'd be in big trouble,True,False,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3406,10638687,,0,the sentence is not offensive because it expresses a general frustration with a specific group of people without using offensive language,My mom so aggravating every time I like a car she got a funk ass attitude about it & ruin my mood but she stay getting hype bout cars,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3406,27672101,,0,the sentence is not offensive because it expresses a general frustration with a specific group of people without using offensive language,My mom so aggravating every time I like a car she got a funk ass attitude about it & ruin my mood but she stay getting hype bout cars,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,664,27672101,,0,the sentence is not offensive because it expresses a general frustration with people who have a superiority complex the sentence is not offensive because,"So true, fucking pricks called my disabled brother a retard",False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,4051,10638687,,0,the sentence is not offensive because,You seasonal ... part time .. you'll get fucked up .. fucking with mines ... LIL BITCH :triumph::face_with_thermometer::woman_bowing_medium_skin_tone::rolling_on_the_floor_laughing::crossed_fingers_medium_skin_tone:,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,4051,27672101,,0,the sentence is not offensive because,You seasonal ... part time .. you'll get fucked up .. fucking with mines ... LIL BITCH :triumph::face_with_thermometer::woman_bowing_medium_skin_tone::rolling_on_the_floor_laughing::crossed_fingers_medium_skin_tone:,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1695,10638687,,0,"the sentence is not offensive because it expresses a general frustration with arrogant people, without targeting any specific group",Black men try to debate people with these facts but they never listen to me and continue to spew their scewed victim version of history,False,False,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1695,27672101,,0,"the sentence is not offensive because it expresses a general frustration with arrogant people, without targeting any specific group",Black men try to debate people with these facts but they never listen to me and continue to spew their scewed victim version of history,False,False,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1874,10638687,,0,the sentence is not offensive because it criticizes a common phrase used to justify racist behavior,Whether or not it's ok to say Nigger depends on your skin color. I'm white so its fine to call them that,False,True,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1874,8526465,,0,the sentence is not offensive because it criticizes a common phrase used to justify racist behavior,Whether or not it's ok to say Nigger depends on your skin color. I'm white so its fine to call them that,False,True,True,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3900,10638687,,0,"the sentence is not offensive because it expresses frustration with a lack of understanding about recycling, but does not contain any offensive language or hate speech",This nigga wanna shoot rocket launchers on Thursday nights I hate niggas.,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3900,24252197,,0,"the sentence is not offensive because it expresses frustration with a lack of understanding about recycling, but does not contain any offensive language or hate speech",This nigga wanna shoot rocket launchers on Thursday nights I hate niggas.,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1370,27672101,,0,the sentence is not offensive because it expresses a general frustration with people who complain the sentence is not offensive because,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,1370,8526465,,0,the sentence is not offensive because it expresses a general frustration with people who complain the sentence is not offensive because,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,False,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
1,3463,10638687,,0,"the sentence is not offensive because it expresses a general frustration with people who are arrogant due to their wealth, without targeting any specific individual or group",Be Walking Around Hea Wit Chlamydia Nshit But Worried About What Somebody Else Got Going BYE HOE :victory_hand_medium-light_skin_tone::sneezing_face:,True,True,False,1,"{'gender': 'woman', 'race': 'black', 'political leaning': 'liberal'}"
