,annID,postCategory,postId,toyou,toany,intent,racist,off_avg,empathy,racism,harmHateSpeech,lingPurism,freeSpeech,traditionalism,altruism,divSocialCircle,annotatorGender,manVsWoman,annotatorRace,whiteVsBlack,annotatorPolitics,politicallyEngaged,sexualOrientation,straightOrNot,bornUS,BLMsupport,socialMediaUsage,nLanguagesSpoken,tweet
0,0,AAE,1,1,2,2,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,If u grown & still get thirsty for Jordans knowin erbody else gon havem & u still feel like u accomplished something that say alot about u
1,0,AAE,2,1,2,2,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,Just spent a whole 20k(imaginary money) on a home studio.. And used the last 3$ 2 get some flowers n a gift card for YA BIHH.
2,0,AAE,3,1,5,5,1,3.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,When everything is going accordingly the enemy always try to come creep up on you but I aint havin it !! buhh byee
3,0,AAE,4,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,"You can't slang no tea☕️, cause he been putting me on bout everything 😏. I could only wish dawg the best🤝"
4,0,Vulgar,1,1,2,1,1,1.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,I sort of fuckin love how close my gf is with my family like that she knows about my family jokes before I fuckin do
5,0,Vulgar,2,2,3,4,1,2.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,I’m hoping that Cersei gets her ass handed to her but I love Daenerys and Jon ;3; I don’t want either of em losing xD
6,0,Vulgar,3,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,I got mosquito bites on my foot and they fucking hurt
7,0,Vulgar,4,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,Personally I think it would be fucking hilarious to put Franziska or Godot in but idk if they’re important enough characters to make the cut
8,0,targetsBlackPeople,1,3,5,5,5,4.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,I don’t get government benefits just for being white.
9,0,targetsBlackPeople,2,5,5,5,5,5.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,Where is white history month? Why can’t I have white pride day?
10,0,targetsBlackPeople,3,5,5,5,5,5.0,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,"I don’t like black doctors, it’s just my preference."
11,0,targetsBlackPeople,4,4,5,3,4,4.5,1.0,-1.0,1.0,1.0,-0.4,1.0,0.75,-0.6666666666666666,man,0.0,white,0.0,0.5,1.0,straight,0,1,-1.0,5,1,Anti-Black racism isn’t that big of a deal because people treated Italians like this in the 60’s and 70’s
12,1,AAE,1,2,2,2,1,2.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,If u grown & still get thirsty for Jordans knowin erbody else gon havem & u still feel like u accomplished something that say alot about u
13,1,AAE,2,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,Just spent a whole 20k(imaginary money) on a home studio.. And used the last 3$ 2 get some flowers n a gift card for YA BIHH.
14,1,AAE,3,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,When everything is going accordingly the enemy always try to come creep up on you but I aint havin it !! buhh byee
15,1,AAE,4,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,"You can't slang no tea☕️, cause he been putting me on bout everything 😏. I could only wish dawg the best🤝"
16,1,Vulgar,1,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,I sort of fuckin love how close my gf is with my family like that she knows about my family jokes before I fuckin do
17,1,Vulgar,2,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,I’m hoping that Cersei gets her ass handed to her but I love Daenerys and Jon ;3; I don’t want either of em losing xD
18,1,Vulgar,3,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,I got mosquito bites on my foot and they fucking hurt
19,1,Vulgar,4,1,1,1,1,1.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,Personally I think it would be fucking hilarious to put Franziska or Godot in but idk if they’re important enough characters to make the cut
20,1,targetsBlackPeople,1,3,3,3,3,3.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,I don’t get government benefits just for being white.
21,1,targetsBlackPeople,2,3,4,5,4,3.5,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,Where is white history month? Why can’t I have white pride day?
22,1,targetsBlackPeople,3,5,5,5,5,5.0,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,"I don’t like black doctors, it’s just my preference."
23,1,targetsBlackPeople,4,4,5,4,5,4.5,0.0,-1.0,1.0,0.0,-0.6,-0.375,0.75,-0.3333333333333333,man,0.0,black,1.0,-1.0,-0.5,straight,0,1,1.0,5,1,Anti-Black racism isn’t that big of a deal because people treated Italians like this in the 60’s and 70’s
24,2,AAE,1,1,1,1,1,1.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1,If u grown & still get thirsty for Jordans knowin erbody else gon havem & u still feel like u accomplished something that say alot about u
25,2,AAE,2,4,4,4,1,4.0,0.875,-0.5,0.8333333333333334,1.0,-0.3,0.625,0.5,-0.8333333333333334,woman,1.0,white,0.0,1.0,1.0,straight,0,1,0.0,5,1,Just spent a whole 20k(imaginary money) on a home studio.. And used the last 3$ 2 get some flowers n a gift card for YA BIHH.
